customerid,churn,customer_gender,customer_seniorcitizen,customer_partner,customer_dependents,customer_tenure,phone_phoneservice,phone_multiplelines,internet_internetservice,internet_onlinesecurity,internet_onlinebackup,internet_deviceprotection,internet_techsupport,internet_streamingtv,internet_streamingmovies,account_paperlessbilling,account_charges_monthly,total_mensual,dias_contrato,total_diario,paymentmethod_credit card (automatic),paymentmethod_electronic check,paymentmethod_mailed check,tipo_contrato_Bienal,tipo_contrato_Mensual,churn_numeric
0002-orfbo,no,female,0,yes,yes,9,yes,no,dsl,no,yes,no,yes,yes,no,yes,65.6,593.3,365,1.6254794520547944,False,False,True,False,False,0.0
0003-mknfe,no,male,0,no,no,9,yes,yes,dsl,no,no,no,no,no,yes,no,59.9,542.4,30,18.08,False,False,True,False,True,0.0
0004-tlhlj,yes,male,0,no,no,4,yes,no,fiber optic,no,no,yes,no,no,no,yes,73.9,280.85,30,9.361666666666668,False,True,False,False,True,1.0
0011-igkff,yes,male,1,yes,no,13,yes,no,fiber optic,no,yes,yes,no,yes,yes,yes,98.0,1237.85,30,41.26166666666666,False,True,False,False,True,1.0
0013-exchz,yes,female,1,yes,no,3,yes,no,fiber optic,no,no,no,yes,yes,no,yes,83.9,267.4,30,8.913333333333332,False,False,True,False,True,1.0
0013-mhzwf,no,female,0,no,yes,9,yes,no,dsl,no,no,no,yes,yes,yes,yes,69.4,571.45,30,19.048333333333336,True,False,False,False,True,0.0
0013-smeoe,no,female,1,yes,no,71,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,yes,109.7,7904.25,730,10.827739726027398,False,False,False,True,False,0.0
0014-bmaqu,no,male,0,yes,no,63,yes,yes,fiber optic,yes,no,no,yes,no,no,yes,84.65,5377.8,730,7.366849315068493,True,False,False,True,False,0.0
0015-uocoj,no,female,1,no,no,7,yes,no,dsl,yes,no,no,no,no,no,yes,48.2,340.35,30,11.345,False,True,False,False,True,0.0
0016-qljis,no,female,0,yes,yes,65,yes,yes,dsl,yes,yes,yes,yes,yes,yes,yes,90.45,5957.9,730,8.161506849315067,False,False,True,True,False,0.0
0017-dinoc,no,male,0,no,no,54,no,no phone service,dsl,yes,no,no,yes,yes,no,no,45.2,2460.55,730,3.3706164383561648,True,False,False,True,False,0.0
0017-iudmw,no,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,yes,116.8,8456.75,730,11.58458904109589,True,False,False,True,False,0.0
0018-nyrou,no,female,0,yes,no,5,yes,no,fiber optic,no,no,no,no,no,no,yes,68.95,351.5,30,11.716666666666667,False,True,False,False,True,0.0
0019-efaep,no,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,no,yes,no,yes,101.3,7261.25,730,9.946917808219178,False,False,False,True,False,0.0
0019-gfntw,no,female,0,no,no,56,no,no phone service,dsl,yes,yes,yes,yes,no,no,no,45.05,2560.1,730,3.506986301369863,False,False,False,True,False,0.0
0020-inwck,no,female,0,yes,yes,71,yes,yes,fiber optic,no,yes,yes,no,no,yes,yes,95.75,6849.4,730,9.382739726027397,True,False,False,True,False,0.0
0020-jdnxp,no,female,0,yes,yes,34,no,no phone service,dsl,yes,no,yes,yes,yes,yes,no,61.25,1993.2,365,5.460821917808219,False,False,True,False,False,0.0
0021-ikxgc,no,female,1,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,yes,72.1,72.1,30,2.4033333333333333,False,True,False,False,True,0.0
0022-tcjci,yes,male,1,no,no,45,yes,no,dsl,yes,no,yes,no,no,yes,no,62.7,2791.5,365,7.647945205479452,True,False,False,False,False,1.0
0023-hghwl,yes,male,1,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,yes,25.1,25.1,30,0.8366666666666667,False,True,False,False,True,1.0
0023-uyupn,no,female,1,yes,no,50,yes,yes,no,no internet service,no,no,no,no,no,no,25.2,1306.3,365,3.578904109589041,False,True,False,False,False,0.0
0023-xuopt,yes,female,0,yes,no,13,yes,yes,fiber optic,no,yes,yes,no,yes,no,no,94.1,1215.6,30,40.519999999999996,False,True,False,False,True,1.0
0027-kwykw,no,female,0,yes,yes,23,yes,yes,fiber optic,no,no,no,no,yes,no,yes,83.75,1849.95,30,61.665,False,True,False,False,True,0.0
0030-fnxpp,no,female,0,no,no,3,yes,no,no,no internet service,no,no,no,no,no,no,19.85,57.2,30,1.9066666666666667,False,False,True,False,True,0.0
0031-pvlzi,yes,female,0,yes,yes,4,yes,no,no,no internet service,no,no,no,no,no,no,20.35,76.35,30,2.545,False,False,True,False,True,1.0
0032-pgels,yes,female,0,yes,yes,1,no,no phone service,dsl,yes,no,no,no,no,no,no,30.5,30.5,30,1.0166666666666666,False,False,False,False,True,1.0
0036-ihmot,no,female,0,yes,yes,55,yes,no,fiber optic,no,yes,yes,yes,yes,yes,yes,103.7,5656.75,365,15.497945205479452,False,False,False,False,False,0.0
0040-halcw,no,male,0,yes,yes,54,yes,no,no,no internet service,no,no,no,no,no,no,20.4,1090.6,730,1.493972602739726,True,False,False,True,False,0.0
0042-jvwoj,no,male,0,no,no,26,yes,no,no,no internet service,no,no,no,no,no,yes,19.6,471.85,365,1.2927397260273974,False,False,False,False,False,0.0
0042-rlhyp,no,female,0,yes,yes,69,yes,no,no,no internet service,no,no,no,no,no,no,19.7,1396.9,730,1.9135616438356167,False,False,False,True,False,0.0
0047-zhdtw,,female,0,no,no,11,yes,yes,fiber optic,yes,no,no,no,no,no,yes,79.0,929.3,30,30.976666666666667,False,False,False,False,True,
0048-lumls,no,male,0,yes,yes,37,yes,no,fiber optic,no,no,no,no,yes,yes,no,91.2,3247.55,365,8.897397260273973,True,False,False,False,False,0.0
0048-pihnl,no,female,0,yes,no,49,yes,no,no,no internet service,no,no,no,no,no,no,20.45,900.9,365,2.4682191780821916,False,False,False,False,False,0.0
0052-dckon,no,male,0,yes,no,66,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,no,115.8,7942.15,365,21.759315068493148,False,False,False,False,False,0.0
0052-ynyot,no,female,0,no,no,67,yes,no,no,no internet service,no,no,no,no,no,no,20.55,1343.4,365,3.68054794520548,False,True,False,False,False,0.0
